order,order_code,great_group,great_group_code,key_horizons,organic_horizon_required,saturation_required,permafrost_required,min_organic_depth_cm,von_post_dominant,key_criteria,wetland_relevance,alberta_occurrence,notes
Chernozemic,CH,Brown Chernozem,B.CH,"Ah, Cca",FALSE,FALSE,FALSE,NA,NA,"Dark Ah ≥10 cm; base saturation ≥80%; no Btj/Bnj; not gleyed; Ah color value ≥3.5 moist or chroma ≥2 dry in upper 10 cm",None,Common,"Driest zone; annual precip typically <350 mm; Brown Ah reflects lower organic matter input"
Chernozemic,CH,Dark Brown Chernozem,DB.CH,"Ah, Cca",FALSE,FALSE,FALSE,NA,NA,"Dark Ah ≥10 cm; base saturation ≥80%; no Btj/Bnj; Ah darker than Brown Chernozem; intermediate moisture zone",None,Common,"Transitional between Brown and Black zones; precip ~350–450 mm"
Chernozemic,CH,Black Chernozem,BL.CH,"Ah, Cca",FALSE,FALSE,FALSE,NA,NA,"Very dark Ah ≥10 cm (value ≤2 moist, chroma ≤2); base saturation ≥80%; highest organic carbon of Chernozemic order; no Btj/Bnj",None,Common,"Most productive agricultural soils; precip ~450–550 mm; common in central Alberta parkland"
Chernozemic,CH,Dark Gray Chernozem,DG.CH,"Ah, Ae or AB, Bt or Bm",FALSE,FALSE,FALSE,NA,NA,"Dark Ah but with eluviation features (Ae or AB); transitional to Luvisolic; base saturation ≥80%; no Btj; not gleyed",None,Common,"Forest-grassland transition; grey tone in Ah indicates leaching; common in aspen parkland"
Solonetzic,SO,Solonetz,SZ.SO,"Bnt",FALSE,FALSE,FALSE,NA,NA,"Bnt (natric B) with columnar or prismatic structure; high exchangeable Na (ESP ≥15%); abrupt textural change at top of Bnt; may have thin Ae",Moderate,Occasional,"Associated with saline-sodic depressions and pothole wetlands; restricts drainage"
Solonetzic,SO,Solodized Solonetz,SS.SO,"Ae, Bnt",FALSE,FALSE,FALSE,NA,NA,"Ae horizon ≥2 cm over Bnt; Bnt has columnar/prismatic structure; more leached than Solonetz but natric B intact",Moderate,Occasional,"Wetted depressions with seasonal ponding; intermediate degradation stage; common around saline lakes"
Solonetzic,SO,Solod,SD.SO,"Ae, Bt (degraded)",FALSE,FALSE,FALSE,NA,NA,"Strongly degraded Bnt — columnar structure largely destroyed; thick Ae; low remaining Na; near-complete leaching of natric horizon",Low,Rare,"Advanced degradation of Solonetz under prolonged leaching; structurally similar to Gray Luvisol"
Luvisolic,LU,Gray Brown Luvisol,GB.LU,"Ae, Bt",FALSE,FALSE,FALSE,NA,NA,"Ae over Bt (argillic B with clay films); base saturation ≥50%; warm temperate climate; Great Lakes/St. Lawrence region",None,None,"Not found in Alberta; restricted to Great Lakes–St. Lawrence lowlands"
Luvisolic,LU,Gray Luvisol,G.LU,"Ae, Bt",FALSE,FALSE,FALSE,NA,NA,"Ae over Bt (argillic B with clay skins/films); base saturation ≥50%; boreal/sub-boreal climate; no permafrost within 2 m; no prolonged saturation",None,Common,"Dominant upland forest soil in boreal Alberta; Ae-Bt sequence is diagnostic; common parent for Luvic Gleysols"
Podzolic,PO,Humic Podzol,H.PO,"Ah or Ahe, Bh",FALSE,FALSE,FALSE,NA,NA,"Bh horizon (organic matter illuviation with little Fe/Al); carbon/pyrophosphate-Al ratio >5; typically under heath or wet forest; may be seasonally saturated",Moderate,Occasional,"Associated with acidic wet depressions and sphagnum-dominated areas; bh horizon accumulates organic carbon"
Podzolic,PO,Ferro-Humic Podzol,FH.PO,"Ae or Ahe, Bhf",FALSE,FALSE,FALSE,NA,NA,"Bhf horizon with both organic matter and Fe-Al accumulation; pyrophosphate-Al ≥0.5%; C/pyrophosphate-Al ratio 0.5–5; typically well-drained",None,Occasional,"High-rainfall or coarse-textured parent materials; less common in Alberta than in coastal or shield areas"
Podzolic,PO,Humo-Ferric Podzol,HF.PO,"Ae or Ahe, Bf",FALSE,FALSE,FALSE,NA,NA,"Bf horizon dominant — Al and Fe with little organic matter; C/pyrophosphate-Al ratio <0.5; typically well-drained coarse soils under coniferous forest",None,Occasional,"Most common Podzol in Alberta; coarse-textured glaciofluvial or aeolian parent materials"
Brunisolic,BR,Melanic Brunisol,M.BR,"Ah, Bm",FALSE,FALSE,FALSE,NA,NA,"Dark Ah (≥10 cm, value ≤3 moist); Bm (altered, no clay films, no podzolic B); base saturation of Bm ≥80%; not gleyed",None,Occasional,"Dark Ah separates from Eutric; well-drained; some overlap with Chernozemic in transition zones"
Brunisolic,BR,Eutric Brunisol,E.BR,"Bm",FALSE,FALSE,FALSE,NA,NA,"Bm present (color or structure alteration); base saturation ≥50%; Ah <10 cm or absent; no podzolic B; no prolonged saturation",None,Common,"Common on calcareous or base-rich parent materials; broad category covering many moderately developed soils"
Brunisolic,BR,Sombric Brunisol,S.BR,"Ah or Ahe, Bh (non-podzolic)",FALSE,FALSE,FALSE,NA,NA,"Bh horizon but pyrophosphate-Al <0.5% (distinguishes from Podzol); forested; Ah often present; base saturation variable",None,Rare,"Restricted to specific parent material/climate combinations; uncommon in Alberta"
Brunisolic,BR,Dystric Brunisol,D.BR,"Bm",FALSE,FALSE,FALSE,NA,NA,"Bm present; base saturation <50% throughout; no podzolic B; acidic parent materials (siliceous tills, sands); not gleyed",None,Occasional,"Acidic sandy or siliceous substrates; leached but without podzolization; common on coarse shield-derived materials"
Regosolic,RE,Regosol,R.RE,"C",FALSE,FALSE,FALSE,NA,NA,"No diagnostic B horizon; no thick Ah (≥10 cm); surface is C or Ck or similar; recently deposited, eroded, or very sandy parent material",None,Common,"Floodplains, active alluvial fans, dunes, recent cutbanks; frequently disturbed or youthful soils"
Regosolic,RE,Humic Regosol,H.RE,"Ah, C",FALSE,FALSE,FALSE,NA,NA,"Ah ≥10 cm (dark, organic-rich) but no diagnostic B; parent material too coarse/young for B development despite organic accumulation",Low,Occasional,"Meadows on coarse outwash or recent fluvial deposits; transitional environments where organics accumulate without pedogenesis"
Gleysolic,GL,Luvic Gleysol,LG.GL,"Ae or Ahe, Btg or Btjg, Cg",FALSE,TRUE,FALSE,NA,NA,"Gleyed argillic B (Btg or Btjg) with clay films; gleying within 50 cm; Ae present; mottles and reduced matrix indicative of seasonal saturation",High,Common,"Mineral wetlands on fine-textured glacial till with clay illuviation; seasonally flooded depressions; common in parkland Alberta"
Gleysolic,GL,Humic Gleysol,HG.GL,"Ah or Ahe (≥10 cm), Bg or Cg",FALSE,TRUE,FALSE,NA,NA,"Ah ≥10 cm (dark, high organic C) overlying gleyed B or C; gleying within 50 cm of surface; no argillic B; saturated for significant part of growing season",High,Common,"Sedge fens, wet meadows, marshes on mineral substrates; thick Ah distinguishes from Gleysol; highly relevant for wetland classification"
Gleysolic,GL,Gleysol,G.GL,"Bg or Cg",FALSE,TRUE,FALSE,NA,NA,"Gleying within 50 cm of surface; Ah <10 cm; no argillic B; dominated by mottles, gray/blue-gray matrix, or reduced conditions; seasonally to permanently saturated",High,Common,"Open water margins, poorly drained flats, shallow mineral wetlands; most common mineral wetland soil in Alberta"
Organic,OR,Fibrisol,FI.OR,"Of (fibric)",TRUE,TRUE,FALSE,40,H1-H4,"Organic material ≥40 cm; dominant layers are fibric (H1–H4 Von Post; >40% fibre after rubbing); mostly undecomposed plant remains visible; low bulk density",High,Common,"Bogs and poor fens with sphagnum; relatively undecomposed peat; lowest degree of humification; typical of raised bogs and some flat fens"
Organic,OR,Mesisol,ME.OR,"Om (mesic)",TRUE,TRUE,FALSE,40,H5-H7,"Organic material ≥40 cm; dominant layers are mesic (H5–H7 Von Post; 17–40% fibre after rubbing); intermediate decomposition; some original plant structure visible",High,Common,"Rich and moderate fens; partially decomposed peat; most common peat type in Alberta; transitional between fibric and humic"
Organic,OR,Humisol,HU.OR,"Oh (humic)",TRUE,TRUE,FALSE,40,H8-H10,"Organic material ≥40 cm; dominant layers are humic (H8–H10 Von Post; <17% fibre after rubbing); highly decomposed; original plant structure largely destroyed; high bulk density",High,Occasional,"Highly decomposed fen or bog peat; often at depth; lower water table or longer decomposition history; associated with drained or older peatlands"
Organic,OR,Folisol,FO.OR,"Of (forest litter)",TRUE,FALSE,FALSE,40,NA,"≥40 cm of organic material but aerobic decomposition (forest litter, mor humus over rock or coarse fragments); not water-saturated; over bedrock, boulders, or coarse rubble",None,Rare,"Forest floor accumulation on rocky or coarse substrates; NOT a wetland soil despite organic classification; differentiated by aerobic conditions"
Cryosolic,CR,Turbic Cryosol,T.CR,"permafrost within 1 m; cryoturbated horizons",FALSE,FALSE,TRUE,NA,NA,"Permafrost within 1 m of surface; evidence of cryoturbation (disrupted, involuted, or broken horizons); patterned ground features at surface; active layer seasonal thaw",Moderate,Occasional,"Permafrost peatlands and mineral soils in northern Alberta; cryoturbation mixes organic and mineral material; common in patterned fens"
Cryosolic,CR,Static Cryosol,S.CR,"permafrost within 2 m; no cryoturbation",FALSE,FALSE,TRUE,NA,NA,"Permafrost within 2 m of surface; no cryoturbation features; horizons intact; permafrost table may be deeper than Turbic",Moderate,Occasional,"Less disturbed permafrost soils; northern boreal and subarctic Alberta; may support peatland or mineral wetland vegetation"
Cryosolic,CR,Organic Cryosol,O.CR,"Of/Om/Oh, permafrost within 1 m below organic",TRUE,TRUE,TRUE,40,NA,"≥40 cm organic material over permafrost within 1 m of mineral surface; combines Organic and Cryosolic criteria; peatland with near-surface permafrost",High,Occasional,"Permafrost peatlands (palsas, peat plateaus) in northern Alberta; highly sensitive to climate change; permafrost thaw converts to Mesisol or Humisol"
Vertisolic,VE,Humic Vertisol,HV.VE,"Ah, Bss or Css",FALSE,FALSE,FALSE,NA,NA,"Ah ≥10 cm over vertic B or C; >30% smectite clay throughout; deep (>50 cm) cracks when dry; slickensides (Bss); gilgai microrelief may be present",Low,Rare,"Clay-rich lacustrine deposits in Alberta interior; cracks seasonally; Ah distinguishes from Vertisol; limited to specific lake-bed parent materials"
Vertisolic,VE,Vertisol,V.VE,"Bss or Css",FALSE,FALSE,FALSE,NA,NA,"No significant Ah (<10 cm); >30% smectite clay; deep seasonal cracking; slickensides; gilgai microrelief; swells when wet, shrinks when dry",Low,Rare,"Exposed lacustrine clays; very limited distribution in Alberta; parent material control dominant; little pedogenic differentiation"
